V,sigma,m0,a,ell,r,Pi,L,Npts,gtt_min,gtt_max,gtt_centre,frac_gtt_positive,Nmax,worst_x,worst_y,worst_z
0.9399999999999998,8.0,3.0,0.10573712634405641,4.0,7.75,0.25,12.0,49,-0.9999999979163595,102.88569961468824,-0.9999999979163595,0.9999915001402477,10.19243344911745,0.0,1.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,4.0,9.0,0.25,12.0,49,-0.9999999999846042,102.87367195140719,-0.9999999999846042,0.9999915001402477,10.191843403006503,-1.0,0.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,4.0,4.0,0.25,12.0,49,-0.9999675882213489,93.39157584579071,-0.9999675882213489,0.9999915001402477,9.715532710345363,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,4.0,5.25,0.25,12.0,49,-0.9999968858926169,101.56986489755393,-0.9999968858926169,0.9999915001402477,10.127678159260094,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,6.0,4.0,0.25,12.0,49,-0.9999856283345124,93.36263379375015,-0.9999856283345124,0.9999915001402477,9.714043122909747,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,6.0,5.25,0.25,12.0,49,-0.9999986198427478,101.58072247486241,-0.9999986198427478,0.9999915001402477,10.128214179946157,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,8.0,5.25,0.25,12.0,49,-0.9999992244737949,101.58100109919427,-0.9999992244737949,0.9999915001402477,10.128227934796604,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,8.0,4.0,0.25,12.0,49,-0.9999919230000577,93.34172299175454,-0.9999919230000577,0.9999915001402477,9.7129667451173,0.0,0.0,-1.0
0.9399999999999998,8.0,3.0,0.10573712634405641,6.0,9.0,0.25,12.0,49,-0.999999999993187,102.87367195137807,-0.999999999993187,0.9999915001402477,10.191843403005075,-1.0,0.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,6.0,7.75,0.25,12.0,49,-0.99999999907743,102.88569961116565,-0.99999999907743,0.9999915001402477,10.192433448944646,0.0,1.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,8.0,6.5,0.25,12.0,49,-0.9999999693454351,102.82604054174158,-0.9999999693454351,0.9999915001402477,10.189506393429545,0.0,1.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,8.0,7.75,0.25,12.0,49,-0.9999999994817765,102.88569960993408,-0.9999999994817765,0.9999915001402477,10.19243344888423,0.0,1.0,0.0
0.9399999999999998,8.0,3.0,0.10573712634405641,8.0,9.0,0.25,12.0,49,-0.9999999999961737,102.8736719513679,-0.9999999999961737,0.9999915001402477,10.191843403004576,-1.0,0.0,0.0
0.9399999999999998,8.0,3.0,0.223606797749979,4.0,6.5,0.25,12.0,49,-0.999999449191079,102.82604196161056,-0.999999449191079,0.9999915001402477,10.189506463102644,0.0,1.0,0.0
